assetId,zoneId,assetType,criticalityLevel,operationalStatus,hallId,rowId,rackId,capacityGroupId,assetClass
ASSET-GEN-GPU-SCN-20260611,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-001,ROW-GEN-001,RACK-GEN-001,GPU-POD-GEN-001,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260611,ZONE-GEN-POWER,UPS Feed,critical,degraded,HALL-GEN-001,ROW-GEN-001,POWER-RACK-GEN-001,,POWER
ASSET-GEN-CHW-SCN-20260611,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-001,,,,COOLING
ASSET-GEN-DCIM-SCN-20260611,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-001,ROW-GEN-001,RACK-GEN-001,GPU-POD-GEN-001,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260612,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-002,ROW-GEN-002,RACK-GEN-002,GPU-POD-GEN-002,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260612,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-002,ROW-GEN-002,POWER-RACK-GEN-002,,POWER
ASSET-GEN-CHW-SCN-20260612,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-002,,,,COOLING
ASSET-GEN-DCIM-SCN-20260612,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-002,ROW-GEN-002,RACK-GEN-002,GPU-POD-GEN-002,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260613,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-003,ROW-GEN-003,RACK-GEN-003,GPU-POD-GEN-003,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260613,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-003,ROW-GEN-003,POWER-RACK-GEN-003,,POWER
ASSET-GEN-CHW-SCN-20260613,ZONE-GEN-COOLING,Chilled Water Loop,high,degraded,HALL-GEN-003,,,,COOLING
ASSET-GEN-DCIM-SCN-20260613,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-003,ROW-GEN-003,RACK-GEN-003,GPU-POD-GEN-003,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260614,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-004,ROW-GEN-004,RACK-GEN-004,GPU-POD-GEN-004,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260614,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-004,ROW-GEN-004,POWER-RACK-GEN-004,,POWER
ASSET-GEN-CHW-SCN-20260614,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-004,,,,COOLING
ASSET-GEN-DCIM-SCN-20260614,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-004,ROW-GEN-004,RACK-GEN-004,GPU-POD-GEN-004,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260615,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-005,ROW-GEN-005,RACK-GEN-005,GPU-POD-GEN-005,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260615,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-005,ROW-GEN-005,POWER-RACK-GEN-005,,POWER
ASSET-GEN-CHW-SCN-20260615,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-005,,,,COOLING
ASSET-GEN-DCIM-SCN-20260615,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-005,ROW-GEN-005,RACK-GEN-005,GPU-POD-GEN-005,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260616,ZONE-GEN-COMPUTE,GPU Pod,critical,monitor,HALL-GEN-006,ROW-GEN-006,RACK-GEN-006,GPU-POD-GEN-006,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260616,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-006,ROW-GEN-006,POWER-RACK-GEN-006,,POWER
ASSET-GEN-CHW-SCN-20260616,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-006,,,,COOLING
ASSET-GEN-DCIM-SCN-20260616,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-006,ROW-GEN-006,RACK-GEN-006,GPU-POD-GEN-006,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260617,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-007,ROW-GEN-007,RACK-GEN-007,GPU-POD-GEN-007,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260617,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-007,ROW-GEN-007,POWER-RACK-GEN-007,,POWER
ASSET-GEN-CHW-SCN-20260617,ZONE-GEN-COOLING,Chilled Water Loop,high,monitor,HALL-GEN-007,,,,COOLING
ASSET-GEN-DCIM-SCN-20260617,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-007,ROW-GEN-007,RACK-GEN-007,GPU-POD-GEN-007,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260618,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-008,ROW-GEN-008,RACK-GEN-008,GPU-POD-GEN-008,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260618,ZONE-GEN-POWER,UPS Feed,critical,degraded,HALL-GEN-008,ROW-GEN-008,POWER-RACK-GEN-008,,POWER
ASSET-GEN-CHW-SCN-20260618,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-008,,,,COOLING
ASSET-GEN-DCIM-SCN-20260618,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,degraded,HALL-GEN-008,ROW-GEN-008,RACK-GEN-008,GPU-POD-GEN-008,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260619,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-009,ROW-GEN-009,RACK-GEN-009,GPU-POD-GEN-009,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260619,ZONE-GEN-POWER,UPS Feed,critical,monitor,HALL-GEN-009,ROW-GEN-009,POWER-RACK-GEN-009,,POWER
ASSET-GEN-CHW-SCN-20260619,ZONE-GEN-COOLING,Chilled Water Loop,high,stable,HALL-GEN-009,,,,COOLING
ASSET-GEN-DCIM-SCN-20260619,ZONE-GEN-COMPUTE,DCIM Telemetry Bridge,high,stable,HALL-GEN-009,ROW-GEN-009,RACK-GEN-009,GPU-POD-GEN-009,CONTROL_TELEMETRY
ASSET-GEN-GPU-SCN-20260620,ZONE-GEN-COMPUTE,GPU Pod,critical,degraded,HALL-GEN-010,ROW-GEN-010,RACK-GEN-010,GPU-POD-GEN-010,INFRASTRUCTURE
ASSET-GEN-UPS-SCN-20260620,ZONE-GEN-POWER,UPS Feed,critical,stable,HALL-GEN-010,ROW-GEN-010,POWER-RACK-GEN-010,,POWER
