eventId,incidentId,enteredStageId,enteredStageLabel,status,enteredAt,exitedAt,durationHours,delayHours
WF-GEN-SCN-20260611-DETECTED,INC-GEN-SCN-20260611,STAGE-DETECTED,Detected,complete,2026-06-10T00:00:00Z,2026-06-10T00:10:00Z,0.2,0.0
WF-GEN-SCN-20260611-VALIDATION,INC-GEN-SCN-20260611,STAGE-VALIDATION,Validation,blocked,2026-06-10T00:10:00Z,,1.0,1.5
WF-GEN-SCN-20260611-CURRENT,INC-GEN-SCN-20260611,STAGE-RECOVERY,Recovery,open,2026-06-10T00:30:00Z,,5.0,3.0
WF-GEN-SCN-20260612-DETECTED,INC-GEN-SCN-20260612,STAGE-DETECTED,Detected,complete,2026-06-10T00:10:00Z,2026-06-10T00:20:00Z,0.2,0.0
WF-GEN-SCN-20260612-VALIDATION,INC-GEN-SCN-20260612,STAGE-VALIDATION,Validation,open,2026-06-10T00:20:00Z,,1.0,0.5
WF-GEN-SCN-20260612-CURRENT,INC-GEN-SCN-20260612,STAGE-VALIDATION,Validation,open,2026-06-10T00:40:00Z,,2.0,1.0
WF-GEN-SCN-20260613-DETECTED,INC-GEN-SCN-20260613,STAGE-DETECTED,Detected,complete,2026-06-10T00:20:00Z,2026-06-10T00:30:00Z,0.2,0.0
WF-GEN-SCN-20260613-VALIDATION,INC-GEN-SCN-20260613,STAGE-VALIDATION,Validation,open,2026-06-10T00:30:00Z,,1.0,0.7
WF-GEN-SCN-20260613-CURRENT,INC-GEN-SCN-20260613,STAGE-RECOVERY,Recovery,open,2026-06-10T00:50:00Z,,3.0,1.5
WF-GEN-SCN-20260614-DETECTED,INC-GEN-SCN-20260614,STAGE-DETECTED,Detected,complete,2026-06-10T00:30:00Z,2026-06-10T00:40:00Z,0.2,0.0
WF-GEN-SCN-20260614-VALIDATION,INC-GEN-SCN-20260614,STAGE-VALIDATION,Validation,blocked,2026-06-10T00:40:00Z,,1.0,1.0
WF-GEN-SCN-20260614-CURRENT,INC-GEN-SCN-20260614,STAGE-VALIDATION,Validation,open,2026-06-10T01:00:00Z,,2.5,1.5
WF-GEN-SCN-20260611-VALIDATION,INC-GEN-SCN-20260611,STAGE-VALIDATION,Validation,duplicate,2026-06-10T00:09:00Z,,1.2,0.4
